,fips_code,county,total_2008,total_2012,total_2016
2566,53015,Cowlitz County,45229,40976,38119
2567,53033,King County,922032,871654,883231
2568,16065,Madison County,13057,14412,15687
2569,37169,Stokes County,21743,21396,22182
2570,48217,Hill County,13188,12032,12906
2571,18103,Miami County,14113,12758,13440
2572,51520,Bristol City,7359,7356,6966
2573,48425,Somervell County,3533,3507,3876
2574,50023,Washington County,32200,29049,28654
2575,36085,Richmond County,166578,135283,167209
2576,17067,Hancock County,9469,8229,7818
2577,47053,Gibson County,21253,19667,19484
2578,13047,Catoosa County,24496,23639,26510
2579,40023,Choctaw County,5590,5066,5419
2580,51147,Prince Edward County,9388,9224,9113
2581,5083,Logan County,7907,7330,7839
2582,48371,Pecos County,4010,4147,4167
2583,55057,Juneau County,11530,11781,11736
2584,21071,Floyd County,15659,14890,16521
2585,29093,Iron County,4414,4031,4260
2586,48249,Jim Wells County,11612,11163,12346
2587,12057,Hillsborough County,513312,541503,595072
2588,55033,Dunn County,22989,21899,22029
2589,21129,Lee County,2773,2623,2663
2590,31015,Boyd County,1110,1047,1142
2591,5019,Clark County,9094,8406,8365
2592,12085,Martin County,78294,78860,85741
2593,31045,Dawes County,3775,3634,3578
2594,28157,Wilkinson County,5139,4238,4174
2595,19141,O'Brien County,7333,7295,7348
2596,54023,Grant County,4218,4572,4945
2597,37093,Hoke County,15627,16800,17847
2598,51087,Henrico County,154966,161195,161966
2599,5071,Johnson County,8180,8064,8997
2600,36077,Otsego County,26121,21938,23024
2601,37165,Scotland County,14217,14020,13743
2602,13313,Whitfield County,27677,26828,30362
2603,20093,Kearny County,1482,1341,1325
2604,18101,Martin County,4903,4742,4807
2605,28061,Jasper County,9210,9340,8468
2606,27003,Anoka County,182224,185714,184084
2607,47043,Dickson County,19519,17821,18619
2608,39009,Athens County,31098,26112,27941
2609,16043,Fremont County,5880,5802,5714
2610,22011,Beauregard Parish,14074,14223,15078
2611,30075,Powder River County,1038,1019,1047
2612,35006,Cibola County,9097,8154,7975
2613,46027,Clay County,6242,5233,5069
2614,13245,Richmond County,79333,78865,74952
2615,48137,Edwards County,1035,883,1065
2616,29159,Pettis County,18208,17171,18045
2617,51181,Surry County,4325,4302,3976
2618,15003,Honolulu County,306813,292925,285683
2619,39129,Pickaway County,23726,23443,23814
2620,29203,Shannon County,3838,3688,3904
2621,27123,Ramsey County,277386,277782,269161
2622,53061,Snohomish County,320333,298759,305281
2623,21045,Casey County,5957,6091,6438
2624,12053,Hernando County,87901,83593,93878
2625,22069,Natchitoches Parish,17067,17257,16617
2626,47137,Pickett County,2671,2446,2609
2627,18007,Benton County,3814,3577,3654
2628,13269,Taylor County,3583,3537,3402
2629,8093,Park County,9383,9054,10245
2630,37115,Madison County,10379,10023,10966
2631,23009,Hancock County,32165,30738,31983
2632,50019,Orleans County,12771,11631,10988
2633,19013,Black Hawk County,64775,66205,63221
2634,26115,Monroe County,76422,72682,74101
2635,27049,Goodhue County,25795,25701,25538
2636,54031,Hardy County,5406,5149,6022
2637,8027,Custer County,2629,2697,3064
2638,48121,Denton County,243263,240125,293287
2639,53025,Grant County,27438,27041,27144
